     239        49        50
     261        58       667
      68       380        70
      81        74        83
     479        23        22
      96       668         7
      93       305         6
      28        97        34
     627       106       109
     104       628        12
     514       171        12
      18        10        11
     182        14       114
      13        31        15
      14       485       340
      17        19       118
     172        16        18
     121        12        17
      16        37       116
     122       120       101
     292       128        91
      90         5       293
       5       352        24
     358       295        23
     141       362       247
     377        80        27
      86       375        26
     669         8        30
      30       384       670
      35        29        28
      14        32        33
      31       183        36
     487        31        34
      35         8        33
      36        30        34
     385        35        32
      19       173        40
     174       165        40
     181       115        40
      39        37        38
     184       185       187
     198       417       188
     207       213       671
      45       471       217
     149        44        46
     641       371        45
     221       216       469
      53       236       672
       1        51       673
       1       674       414
      49       237        52
      53       675        51
     587        48        52
     189       201        55
     238        54       455
      57       676        58
     143        56       248
       2       252        56
     361       250        60
     263       659        59
     677        62       259
      61       253        64
     657       264        64
     258        63        62
     254       678       266
      67       257       267
      69        66        68
     464         3        67
     268        67        73
       3        72        73
     152       366        72
      70       154        71
      69        70       367
       4       679        77
      76       276        78
     680        75        77
      79        74        76
      75        84        80
      80        82        77
      26        79        78
     681         4       461
      79       378        83
       4        82       463
      78        85        86
      84       277       598
     150        27        84
     597       278       273
     283       339        89
      98       302        88
     303        22        91
      21       279        90
     131       291       297
      95         7       682
     683       134        95
     138        93        94
     308         6       312
       8       684       319
     314        89        99
     341       486        98
     127       320       101
     102        20       100
     105       101       323
     326       108       107
     106        10       125
     126       102       107
       9       104       107
     103       106       105
     103       334       109
       9       108       110
     328       109       332
     330       157       337
     202       336       158
     563       170       515
     115        13       338
      39       114       116
     342        19       115
     119       123       344
      16       343       124
     120       117       281
      20       119       130
     125        18       124
     123        20       126
     117       122       124
     121       118       123
     104       121       126
     122       105       125
     132       100       130
      21       131       129
     280       128       130
     127       120       129
     128        92       132
     147       127       131
     137       135       685
      94       686       135
     133       348       134
     687       145       137
     139       133       136
     307        95       350
     349       137       355
     249       360       142
     286        25       142
     141       140       474
     688        57       363
     519       354       145
     136       365       144
     298       524       322
     321       132       299
     476       466       531
     593        45       543
     545        86       596
     153       369       152
     635        71       151
     373       151       154
      72       379       153
     444       244       156
     157       327       155
     111       156       158
     245       112       157
     539       440       502
     162       689       382
     387       164       163
     388       160       163
     161       394       162
     161       179       167
      38       166       180
     165       400       167
     395       164       166
     690       389       397
     392       405       398
     113       177       171
      11       170       172
     173        17       171
      37       172       175
     401        38       175
     174       173       177
     177       560       402
     170       176       175
     179       386       183
     164       178       180
     181       165       179
     182        39       180
     183        13       181
      32       182       178
     691        41       193
      41       692       549
     558       194       187
     186        41       551
     693        42       411
     420        54       190
     189       240       412
     197       192       421
     191       694       193
     184       194       192
     186       423       193
     418       199       422
     424       203       415
     695       191       199
     199        42       696
     195       198       197
     201       419       205
      54       200       243
     568       112       204
     196       566       205
     202       246       205
     200       203       204
     207       697       435
     427        43       206
     698       209       225
     208       211       210
     212       215       209
     209       699       213
     213       428       210
      43       212       211
     219       223       215
     210       229       214
      47       219       217
      44       216       642
     228       643       219
     216       214       218
     700       222       272
     223        47       222
     220       224       221
     214       221       225
     222       701       225
     208       223       224
     231       227       430
     441       228       226
     227       218       229
     215       429       228
     446       442       231
     230       226       232
     432       582       231
     702       234       437
     233       235       665
     234       703       236
      48       585       235
      51       239       242
     240        55       241
     237         1       240
     190       238       239
     238       450       242
     588       237       241
     456       201       246
     155       458       245
     246       158       244
     204       245       243
      25       248       249
     247        57       252
     250       140       247
      59       249       251
     252       262       250
      58       251       248
      62       704       256
     255        65       257
     705       254       256
     258       253       255
      66       269       254
     270        64       256
     260        61       264
     261       706       259
     262         2       260
     251       261       263
     264        60       262
      63       263       259
     707       460       266
     267        65       265
      66       266       465
     269        69       592
     257       268       270
     655       258       269
     274       708       272
     220       470       271
     275        87       709
     710       271       275
     472       273       274
      75       711       277
      85       276       278
      87       277       712
      91       280       284
     279       129       281
     119       282       280
     345       283       281
     282        88       284
     283       304       279
     356       520       287
     521       141       288
     288       290       285
     473       287       286
     296       357       290
     287       609       289
      92       292       294
     291        21       293
      22       295       292
     608       291       296
      24       296       293
     295       289       294
     299        92       606
     300       146       299
     147       297       298
     475       298       607
     302       313       477
      89       301       304
     480        90       304
     284       302       303
       7       307       306
     311       305       478
     305       138       482
     713        96       310
     310       318       714
     315       309       308
     312       306       313
      96       311       315
     301       314       311
     313        98       316
     316       310       312
     483       315       314
     715       318       319
     309       484       317
     488        97       317
     100       321       324
     320       147       322
     146       489       321
     102       324       326
     323       320       490
     333       326       492
     325       103       323
     156       331       493
     631       110       329
     328       496       331
     331       111       632
     327       330       329
     497       110       335
     334       325       504
     108       333       335
     332       334       503
     112       511       337
     512       111       336
     114       340       347
      88       346       341
      15       341       338
     340        99       339
     343       116       347
     118       342       344
     345       117       343
     346       282       344
     339       345       347
     342       338       346
     135       349       350
     348       139       353
     138       348       351
     352       481       350
      23       351       353
     359       352       349
     144       356       355
     139       354       359
     354       285       357
     289       358       356
     357        24       359
     358       353       355
     140       361       601
     360        59       468
      25       522       363
     143       362       364
     516       716       363
     145       717       518
      71       529       367
     590        73       366
     369       372       533
     151       368       370
     536       633       369
      46       645       544
     368       373       542
     372       153       374
     376       375       373
      27       546       374
     377       374       379
     378        26       376
      82       377       381
     154       380       376
       3       381       379
     380       462       378
     160       383       387
     718       384       382
      29       385       383
     384        36       386
     178       387       385
     386       161       382
     719       162       391
     168       390       392
     389       720       391
     388       394       390
     393       169       389
     399       392       395
     163       395       391
     394       167       393
     548       721       397
     168       398       396
     397       169       553
     406       393       400
     166       401       399
     400       174       402
     176       404       401
     407       552       405
     402       408       406
     169       406       403
     405       399       404
     555       403       408
     404       561       407
     411       416       412
     413       722       411
     188       409       410
     190       414       409
     723       410       414
     412        50       413
     196       419       418
     409       417       420
      42       418       416
     417       195       415
     200       420       415
     419       189       416
     422       191       423
     195       421       424
     194       425       421
     426       196       422
     423       559       426
     567       424       425
     428       207       431
     212       427       429
     229       428       430
     433       226       429
     427       438       433
     572       232       433
     432       430       431
     724       436       435
     206       434       438
     434       725       437
     233       573       436
     431       435       574
     443       447       619
     159       648       618
     644       227       442
     230       443       441
     442       439       576
     445       155       494
     457       444       578
     447       230       581
     439       446       448
     580       625       447
     577       451       454
     241       453       452
     449       651       452
     586       450       451
     450       455       454
     457       449       453
     453        55       456
     455       243       458
     458       445       454
     244       457       456
     460       726       461
     265       459       465
      81       463       459
     381       464       463
     461        83       462
     462        68       465
     464       267       460
     148       467       589
     466       603       468
     361       660       467
      47       471       470
     272       469       472
      44       594       469
     595       275       470
     610       288       474
     142       602       473
