     298       297       283
      33        23        39
      44        36        27
      14        10         5
     173       194       187
     225       235       248
     235       225       212
     300       317       319
     207       216       228
     251       240       228
     263       251       273
     251       263       240
     280       291       299
     290       280       299
     269       280       290
     260       254       274
     254       263       274
     263       254       240
     281       260       274
     198       209       220
     199       186       167
     173       186       194
     164       173       187
     173       164       144
      66        76        88
      35        45        28
      45        35        51
     317       333       319
     343       333       327
     333       317       327
     308       290       299
     318       308       299
     308       300       290
     300       308       317
     317       308       327
     308       318       327
     294       281       274
     301       294       314
     281       301       291
     294       301       281
     356       352       361
     326       342       334
     121       143       142
      79        89        70
      89        80        70
      80        89       102
      79        69        90
     245       266       247
     279       298       283
     310       297       298
     267       279       283
     279       267       266
     266       267       247
     277       287       296
     277       265       287
      33        49        47
      49        66        47
      49        33        39
      48        57        67
      57        48        38
      22        15         9
      17        22         9
      22        29        38
      22        17        29
       3        12         4
      12        20        26
      20        36        26
      36        20        27
      36        43        26
      53        36        44
      53        62        73
      62        53        44
      53        43        36
       7        14         5
      25        19        11
      19         7        11
       7        19        14
      35        19        25
      14        19        28
      19        35        28
      10         2         5
      21        14        28
      21        10        14
      41        35        25
      32        41        25
      35        41        51
      24        40        32
     252       234       242
     234       252       241
     186       211       194
     211       186       199
     145       156       167
     225       201       212
     188       201       189
     201       188       212
     235       257       248
     307       300       319
     252       258       241
     258       252       269
     184       198       168
     198       184       209
     184       197       209
     207       197       183
     240       218       228
     197       218       209
     218       207       228
     218       197       207
     193       207       183
     193       216       207
     193       205       216
     261       250       238
     261       275       282
     273       284       293
     280       271       291
     271       281       291
     281       271       260
     239       232       220
     239       254       260
     232       210       220
     210       198       220
     254       231       240
     209       231       220
     231       239       220
     239       231       254
     231       218       240
     218       231       209
     198       185       168
     185       199       167
     185       210       199
     210       185       198
     156       185       167
     185       156       168
     165       141       154
     165       188       189
     188       165       154
     131       141       118
     141       131       154
     188       191       212
     131       153       154
      86        76        67
      76        97        88
      86        97        76
      66        59        47
     131       109       120
     109       131       118
     135       147       127
     156       147       168
      72        92        85
      80        60        70
      41        60        51
      82        62        74
      62        82        73
      62        55        74
      55        62        44
     253       229       243
     229       253       238
     253       261       238
     261       253       275
     149       139       128
     351       344       357
     337       344       328
     344       350       357
     350       344       337
     320       337       328
     320       301       314
     332       320       314
